Trade_ID,EntryBar,ExitBar,Ticker,Size,EntryPrice,ExitPrice,SL,TP,PnL,ReturnPct,EntryTime,ExitTime,Tag,Reason,Duration
43,4010,4067,Asset,23790,1.473304,1.4295,{'SL': 1.4295},{'TP': 1.528},-1042.089107,-0.029732,2025-02-03 01:00:00,2025-02-05 10:00:00,,SL Hit,2 days 09:00:00
44,4068,4151,Asset,64966,1.428461,1.43079,{'SL': 1.4188},{'TP': 1.4404000000000001},151.278561,0.00163,2025-02-05 11:00:00,2025-02-10 22:00:00,,,5 days 11:00:00
45,4152,4218,Asset,-64945,1.430878,1.4225,{'SL': 1.4377},{'TP': 1.4225},544.138598,0.005855,2025-02-10 23:00:00,2025-02-13 17:00:00,,TP Hit,2 days 18:00:00
46,4219,4251,Asset,-65689,1.422109,1.41813,{'SL': 1.4342000000000001},{'TP': 1.4072},261.369371,0.002798,2025-02-13 18:00:00,2025-02-17 02:00:00,,,3 days 08:00:00
47,4252,4391,Asset,66085,1.417311,1.4263,{'SL': 1.4100000000000001},{'TP': 1.4263000000000001},594.047185,0.006342,2025-02-17 03:00:00,2025-02-24 22:00:00,,TP Hit,7 days 19:00:00
48,4392,4456,Asset,66041,1.426351,1.4417,{'SL': 1.4140000000000001},{'TP': 1.4417},1013.642572,0.010761,2025-02-24 23:00:00,2025-02-27 15:00:00,,TP Hit,2 days 16:00:00
49,4457,4578,Asset,65926,1.442682,1.4297,{'SL': 1.4297},{'TP': 1.4588},-855.859935,-0.008999,2025-02-27 16:00:00,2025-03-06 17:00:00,,SL Hit,7 days 01:00:00
50,4579,4628,Asset,66109,1.426981,1.4442,{'SL': 1.4132},{'TP': 1.4442000000000002},1138.30803,0.012066,2025-03-06 18:00:00,2025-03-10 19:00:00,,TP Hit,4 days 01:00:00
51,4629,4743,Asset,66011,1.444682,1.4338,{'SL': 1.4338},{'TP': 1.458},-718.346918,-0.007533,2025-03-10 20:00:00,2025-03-17 15:00:00,,SL Hit,6 days 19:00:00
52,4744,4910,Asset,66163,1.431622,1.424,{'SL': 1.4240000000000002},{'TP': 1.4409},-504.266432,-0.005324,2025-03-17 16:00:00,2025-03-26 15:00:00,,SL Hit,8 days 23:00:00
53,4911,4978,Asset,66145,1.425121,1.4349,{'SL': 1.4172},{'TP': 1.4349},646.815253,0.006862,2025-03-26 16:00:00,2025-03-31 12:00:00,,TP Hit,4 days 20:00:00
54,4979,5015,Asset,66085,1.435222,1.4291,{'SL': 1.4291},{'TP': 1.4427},-404.556344,-0.004265,2025-03-31 13:00:00,2025-04-02 01:00:00,,SL Hit,1 days 12:00:00
