Trade_ID,EntryBar,ExitBar,Ticker,Size,EntryPrice,ExitPrice,SL,TP,PnL,ReturnPct,EntryTime,ExitTime,Tag,Reason,Duration
40,2179,2207,Asset,-66908,1.382431,1.3764,{'SL': 1.3874},{'TP': 1.3764},403.513784,0.004363,2024-10-15 16:00:00,2024-10-16 20:00:00,,TP Hit,1 days 04:00:00
41,2208,2268,Asset,-67470,1.376301,1.3819,{'SL': 1.3819000000000001},{'TP': 1.3695000000000002},-377.752284,-0.004068,2024-10-16 21:00:00,2024-10-21 09:00:00,,SL Hit,4 days 12:00:00
42,2269,2324,Asset,-66948,1.381951,1.3853,{'SL': 1.3853},{'TP': 1.3779000000000001},-224.215614,-0.002423,2024-10-21 10:00:00,2024-10-23 17:00:00,,SL Hit,2 days 07:00:00
43,2325,2351,Asset,-66677,1.384521,1.3863,{'SL': 1.3902},{'TP': 1.3776000000000002},-118.633685,-0.001285,2024-10-23 18:00:00,2024-10-24 20:00:00,,,1 days 02:00:00
44,2352,2494,Asset,66556,1.385589,1.3952,{'SL': 1.3778000000000001},{'TP': 1.3952},639.651347,0.006936,2024-10-24 21:00:00,2024-11-01 19:00:00,,TP Hit,7 days 22:00:00
45,2495,2538,Asset,66513,1.39515,1.3865,{'SL': 1.3865},{'TP': 1.4058000000000002},-575.321088,-0.0062,2024-11-01 20:00:00,2024-11-05 16:00:00,,SL Hit,3 days 20:00:00
46,2539,2551,Asset,66582,1.386159,1.392,{'SL': 1.3809},{'TP': 1.3920000000000001},388.885188,0.004214,2024-11-05 17:00:00,2024-11-06 05:00:00,,TP Hit,0 days 12:00:00
47,2552,2731,Asset,66496,1.39298,1.4103,{'SL': 1.379},{'TP': 1.4103},1151.734293,0.012434,2024-11-06 06:00:00,2024-11-15 17:00:00,,TP Hit,9 days 11:00:00
48,2732,2777,Asset,66526,1.40791,1.3984,{'SL': 1.3984},{'TP': 1.4196},-632.688338,-0.006755,2024-11-15 18:00:00,2024-11-19 15:00:00,,SL Hit,3 days 21:00:00
49,2778,2884,Asset,66466,1.40078,1.413,{'SL': 1.3906},{'TP': 1.413},812.21216,0.008724,2024-11-19 16:00:00,2024-11-26 02:00:00,,TP Hit,6 days 10:00:00
