Trade_ID,EntryBar,ExitBar,Ticker,Size,EntryPrice,ExitPrice,SL,TP,PnL,ReturnPct,EntryTime,ExitTime,Tag,Reason,Duration
68,4460,4578,Asset,66399,1.442072,1.43,{'SL': 1.43},{'TP': 1.46},-801.575368,-0.008371,2025-02-27 19:00:00,2025-03-06 17:00:00,,SL Hit,6 days 22:00:00
69,4579,4628,Asset,66594,1.426981,1.4442,{'SL': 1.4132},{'TP': 1.4442000000000002},1146.659078,0.012066,2025-03-06 18:00:00,2025-03-10 19:00:00,,TP Hit,4 days 01:00:00
70,4629,4743,Asset,66495,1.444682,1.4338,{'SL': 1.4338},{'TP': 1.458},-723.613917,-0.007533,2025-03-10 20:00:00,2025-03-17 15:00:00,,SL Hit,6 days 19:00:00
71,4744,4910,Asset,66649,1.431622,1.424,{'SL': 1.4240000000000002},{'TP': 1.4409},-507.970519,-0.005324,2025-03-17 16:00:00,2025-03-26 15:00:00,,SL Hit,8 days 23:00:00
72,4911,4978,Asset,66630,1.425121,1.4349,{'SL': 1.4172},{'TP': 1.4349},651.557946,0.006862,2025-03-26 16:00:00,2025-03-31 12:00:00,,TP Hit,4 days 20:00:00
73,4979,5015,Asset,66569,1.435222,1.4291,{'SL': 1.4291},{'TP': 1.4427},-407.519275,-0.004265,2025-03-31 13:00:00,2025-04-02 01:00:00,,SL Hit,1 days 12:00:00
74,5016,5041,Asset,66601,1.429031,1.42167,{'SL': 1.4202000000000001},{'TP': 1.4398},-490.279798,-0.005151,2025-04-02 02:00:00,2025-04-03 03:00:00,,,1 days 01:00:00
75,5042,5051,Asset,-39027,1.425259,1.41481,{'SL': 1.4523000000000001},{'TP': 1.3916000000000002},407.782722,0.007331,2025-04-03 04:00:00,2025-04-03 13:00:00,,,0 days 09:00:00
76,5052,5151,Asset,52700,1.412791,1.41412,{'SL': 1.3927},{'TP': 1.4378},70.057483,0.000941,2025-04-03 14:00:00,2025-04-09 17:00:00,,,6 days 03:00:00
77,5152,5170,Asset,-53428,1.419839,1.40752,{'SL': 1.4398},{'TP': 1.3953},658.179772,0.008676,2025-04-09 18:00:00,2025-04-10 12:00:00,,,0 days 18:00:00
